Index,Param1,Param2,Param3,obs1,obs2,obs3,obs4
383.29,2530.090479,2.5888,4299.740436,0.003375725,0.003277069,0.003190001,0.003939629
383.44,2533.244681,2.5975,4314.286119,0.003366091,0.003216553,0.002919217,0.003041242
383.59,2536.195706,2.6067,4321.258949,0.002575256,0.002362481,0.001834073,0.001363158
383.74,2537.251311,2.6128,4299.497828,-0.00135558,-0.001682095,-0.002737228,-0.004946385
383.9,2538.307795,2.6178,4305.267172,0.001626395,0.001546569,0.001372444,0.001342925
384.05,2544.452792,2.6068,4315.813321,-0.000882129,-0.000823432,-0.000582753,0.000127137
384.2,2545.940528,2.5863,4328.561691,-0.002472801,-0.002053185,-0.00080975,0.001349379
384.35,2543.391188,2.5692,4348.012154,-0.001075132,-0.000512918,0.001171083,0.004175234
384.51,2543.815724,2.5794,4363.511424,0.003760277,0.003691619,0.003621341,0.004082429
384.66,2536.617843,2.6038,4371.835511,0.005660411,0.005558098,0.005340947,0.005340155
384.81,2539.365159,2.6278,4376.794945,0.005154374,0.004683949,0.003435636,0.001905651
384.96,2543.815724,2.6425,4358.208102,0.000661361,9.98E-05,-0.001572305,-0.004506035
385.11,2542.33047,2.6474,4348.384336,-0.00020202,-0.000314087,-0.000693643,-0.001558596
385.27,2507.197499,2.6552,4337.802066,0.00025269,0.001297161,0.004066034,0.007455254
385.42,2476.438089,2.6555,4316.302254,-0.002427859,-0.001511476,0.000827308,0.003251397
385.57,2467.217096,2.6509,4308.066317,-0.001821837,-0.001485272,-0.000628346,0.000247211
385.72,2503.902078,2.644,4355.530151,0.004175426,0.003381896,0.001575731,0.000847357
385.88,2529.880478,2.6466,4342.87017,-0.000964001,-0.002029869,-0.00503945,-0.009607099
386.03,2544.66522,2.6661,4384.854414,0.008480746,0.007965215,0.006877257,0.006924724
386.18,2558.334732,2.673,4380.380265,0.000781911,0.000144182,-0.001632365,-0.004219786
386.33,2591.836735,2.6728,4416.367219,0.004053527,0.003157237,0.00097615,-0.00071979
386.49,2610.706638,2.6577,4434.357542,-0.000800121,-0.001063915,-0.001651791,-0.001822255
386.64,2548.708086,2.6402,4438.942693,-0.002786465,-0.000232904,0.006758619,0.016404793
386.79,2548.708086,2.6248,4438.942693,-0.002924976,-0.002666498,-0.001960385,-0.00099603
386.94,2546.365915,2.6206,4438.360952,-0.000866233,-0.00071901,-0.000321112,0.000202037
387.1,2542.118432,2.6299,4436.293773,0.00153833,0.001512525,0.001426748,0.001237368
387.25,2537.885096,2.6373,4399.093625,-0.002805454,-0.003082118,-0.004107832,-0.00677535
